p_id,m_id,won,captain,team_id
99,6,0,0,8
102,6,0,0,8
101,6,0,0,8
100,6,0,0,8
43,6,1,0,4
45,6,1,1,4
46,6,1,0,4
44,6,1,0,4
47,6,1,0,4
49,6,1,0,4
104,6,0,1,8
106,6,0,0,8
105,6,0,0,8
103,6,0,0,8
35,7,0,0,3
36,7,0,0,3
33,7,0,0,3
32,7,0,0,3
37,7,0,0,3
39,7,0,0,3
1,7,1,0,1
2,7,1,0,1
4,7,1,0,1
3,7,1,1,1
8,7,1,0,1
6,7,1,0,1
28,7,0,1,3
29,7,0,0,3
31,7,0,0,3
30,7,0,0,3
34,7,0,0,3
12,7,1,0,1
14,7,1,0,1
10,7,1,0,1
13,7,1,0,1
87,8,0,0,7
89,8,0,0,7
90,8,0,0,7
91,8,0,0,7
93,8,0,0,7
92,8,0,0,7
71,8,1,0,6
73,8,1,1,6
74,8,1,0,6
72,8,1,0,6
75,8,1,0,6
77,8,1,0,6
82,8,1,0,6
76,8,1,0,6
83,8,0,0,7
85,8,0,0,7
86,8,0,1,7
88,8,0,0,7
84,8,0,0,7
81,8,1,0,6
78,8,1,0,6
80,8,1,0,6
65,9,0,0,5
66,9,0,0,5
63,9,0,0,5
64,9,0,0,5
62,9,0,1,5
67,9,0,0,5
1,9,1,0,1
2,9,1,0,1
4,9,1,0,1
3,9,1,1,1
7,9,1,0,1
8,9,1,0,1
9,9,1,0,1
6,9,1,0,1
56,9,0,0,5
58,9,0,0,5
69,9,0,0,5
60,9,0,0,5
59,9,0,0,5
14,9,1,0,1
13,9,1,0,1
12,9,1,0,1
77,10,0,0,6
78,10,0,0,6
80,10,0,0,6
76,10,0,0,6
75,10,0,0,6
81,10,0,0,6
43,10,1,0,4
45,10,1,1,4
44,10,1,0,4
72,10,0,0,6
73,10,0,1,6
74,10,0,0,6
82,10,0,0,6
71,10,0,0,6
48,10,1,0,4
49,10,1,0,4
52,10,1,0,4
55,10,1,0,4
50,10,1,0,4
54,10,1,0,4
36,11,0,0,3
38,11,0,0,3
32,11,0,0,3
41,11,0,0,3
35,11,0,0,3
16,11,1,0,2
17,11,1,0,2
19,11,1,0,2
18,11,1,0,2
20,11,1,0,2
21,11,1,1,2
22,11,1,0,2
29,11,0,0,3
28,11,0,1,3
31,11,0,0,3
40,11,0,0,3
30,11,0,0,3
34,11,0,0,3
25,11,1,0,2
24,11,1,0,2
26,11,1,0,2
23,11,1,0,2
87,12,1,0,7
89,12,1,0,7
93,12,1,0,7
90,12,1,0,7
91,12,1,0,7
92,12,1,0,7
96,12,0,0,8
97,12,0,0,8
98,12,0,0,8
99,12,0,0,8
107,12,0,0,8
100,12,0,0,8
103,12,0,0,8
105,12,0,0,8
108,12,0,0,8
104,12,0,1,8
106,12,0,0,8
95,12,1,0,7
85,12,1,0,7
84,12,1,0,7
86,12,1,1,7
88,12,1,0,7
6,13,1,0,1
12,13,1,0,1
9,13,1,0,1
10,13,1,0,1
13,13,1,0,1
84,13,0,0,7
85,13,0,0,7
83,13,0,0,7
86,13,0,1,7
88,13,0,0,7
87,13,0,0,7
89,13,0,0,7
1,13,1,0,1
2,13,1,0,1
3,13,1,1,1
8,13,1,0,1
7,13,1,0,1
4,13,1,0,1
91,13,0,0,7
93,13,0,0,7
90,13,0,0,7
92,13,0,0,7
32,14,1,0,3
35,14,1,0,3
38,14,1,0,3
37,14,1,0,3
36,14,1,0,3
33,14,1,0,3
44,14,0,0,4
45,14,0,1,4
46,14,0,0,4
47,14,0,0,4
43,14,0,0,4
48,14,0,0,4
28,14,1,1,3
