id,bat_team_id,bow_team_id,inn_no,score,for,overs,m_id,t_id,c1,c2,c3,dots,c4,c6,wides,noballs,extras,ball_color
260,4,9,2,161,0,14.5,130,5,42,1,0,23,14,10,0,2,1,yg
261,2,7,1,210,4,20,131,5,42,2,0,44,18,15,1,2,2,yr
262,7,2,2,201,6,20,131,5,45,1,0,45,11,18,2,0,2,yr
263,3,9,1,172,5,20,132,5,50,3,0,42,17,8,0,0,0,yg
264,9,3,2,165,6,20,132,5,52,4,0,42,16,6,2,2,5,yg
265,7,10,1,133,7,20,133,5,55,0,0,49,10,6,2,0,2,yy
266,10,7,2,137,5,17.4,133,5,43,1,0,43,11,8,0,0,0,yy
267,10,3,1,134,6,20,134,5,54,5,1,46,9,5,1,0,1,yr
268,3,10,2,135,5,14.6,134,5,34,3,0,36,11,8,1,4,3,yr
269,42,37,1,167,4,20,135,6,60,3,1,36,15,6,1,2,2,yg
270,37,42,2,171,5,17.4,135,6,48,1,0,32,15,10,1,0,1,yg
271,32,35,1,163,5,20,136,6,53,2,0,43,13,9,0,0,0,yr
272,35,32,2,164,3,18.6,136,6,60,4,2,30,13,6,1,2,2,yr
273,36,39,1,195,4,20,137,6,53,2,0,36,23,7,3,2,4,yy
274,39,36,2,170,8,20,137,6,58,2,0,40,10,11,1,2,2,yy
275,34,40,1,179,3,20,138,6,62,2,1,33,11,11,0,0,0,yg
276,40,34,2,185,5,18.6,138,6,54,3,0,33,17,9,1,4,3,yg
277,36,41,1,187,5,20,139,6,48,3,0,42,18,10,0,2,1,yg
278,41,36,2,189,5,19.4,139,6,55,3,0,34,21,7,0,4,2,yg
279,37,38,1,144,5,20,140,6,60,0,0,44,14,4,2,4,4,yr
280,38,37,2,143,7,20,140,6,60,2,0,42,12,5,0,2,1,yr
281,31,35,1,187,6,20,141,6,50,2,0,42,15,12,0,2,1,yg
282,35,31,2,176,3,20,141,6,59,3,1,35,12,10,0,0,0,yg
283,33,40,1,169,5,20,142,6,53,2,0,41,20,5,1,2,2,yr
284,40,33,2,155,5,20,142,6,57,2,0,40,18,3,1,2,4,yr
285,38,42,1,157,9,20,143,6,52,2,1,45,11,9,0,0,0,yy
286,42,38,2,163,3,17.4,143,6,50,1,0,30,20,5,1,0,1,yy
287,39,41,1,175,5,20,144,6,58,0,0,38,17,8,0,2,1,yr
288,41,39,2,180,2,19.3,144,6,60,2,0,32,13,10,4,0,4,yr
289,34,33,1,166,4,20,145,6,65,1,0,32,20,3,0,2,1,yy
290,33,34,2,166,5,20,145,6,57,1,0,38,19,5,1,0,1,yy
291,32,31,1,144,4,20,146,6,61,0,0,40,16,3,1,0,1,yg
292,31,32,2,147,4,17.5,146,6,47,2,0,37,20,2,3,2,4,yg
293,42,38,1,191,4,20,147,6,54,1,1,36,18,10,0,0,0,ry
294,38,42,2,164,7,20,147,6,65,1,2,31,19,2,3,0,3,ry
295,39,36,1,176,5,20,148,6,48,2,0,45,20,7,0,4,2,yg
296,36,39,2,177,1,17.1,148,6,50,2,0,25,20,7,0,2,1,yg
297,35,31,1,163,5,20,149,6,59,5,2,37,14,5,0,4,2,yy
298,31,35,2,164,4,18.3,149,6,45,3,0,40,14,9,3,0,3,yy
299,34,33,1,139,7,20,150,6,63,3,0,38,14,2,2,0,2,yr
300,33,34,2,142,1,16.5,150,6,56,0,0,26,15,4,2,0,2,yr
301,38,37,1,153,6,20,151,6,68,1,1,34,13,4,3,2,4,yg
302,37,38,2,155,5,15.6,151,6,36,0,0,33,22,5,1,0,1,yg
