p_id,innings,runs,balls,sr,avg,best,not_outs,dots,c1,c2,c3,c4,c6,c30,c50,c100
230,2,1,2,50,1,160,1,1,1,0,0,0,0,0,0,0
231,20,454,290,156.55,34.92,102,7,86,131,4,1,48,20,6,2,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,4,41,37,110.81,41,198,3,16,15,0,0,5,1,0,0,0
234,2,41,21,195.24,41,299,1,7,5,1,0,7,1,1,0,0
235,3,47,29,162.07,47,289,2,6,15,1,0,6,1,0,0,0
236,1,3,2,150,0,249,1,0,1,1,0,0,0,0,0,0
237,10,309,212,145.75,34.33,249,1,63,105,4,0,22,18,4,2,0
238,5,163,143,113.99,32.6,280,0,46,77,1,0,15,4,2,2,0
239,5,151,92,164.13,50.33,149,2,31,37,0,0,15,9,2,1,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,4,45,35,128.57,11.25,180,0,13,15,0,0,6,1,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,3,29,14,207.14,9.67,233,0,6,3,0,0,2,3,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,13,626,386,162.18,56.91,206,2,129,152,5,0,68,32,7,6,2
246,6,141,99,142.42,47,227,3,32,45,2,2,11,7,3,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,1,4,6,66.67,4,242,0,2,4,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,3,52,30,173.33,52,193,2,9,12,0,0,7,2,1,0,0
252,2,34,15,226.67,34,207,1,3,6,0,0,4,2,1,0,0
253,2,38,25,152,19,218,0,11,8,0,0,3,3,0,0,0
254,3,36,26,138.46,18,183,1,10,10,0,0,5,1,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,4,50,32,156.25,12.5,226,0,10,14,0,0,6,2,1,0,0
257,3,13,8,162.5,13,252,2,3,1,2,0,2,0,0,0,0
258,1,0,2,0,0,245,0,2,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,8,136,131,103.82,19.43,255,1,61,52,1,0,10,7,2,0,0
262,7,230,191,120.42,32.86,250,0,81,76,3,0,19,12,3,2,0
263,6,188,146,128.77,31.33,250,0,51,70,2,0,12,11,5,0,0
264,8,120,84,142.86,24,246,3,32,32,1,0,14,5,1,0,0
265,6,85,51,166.67,17,266,1,19,16,3,1,6,6,0,0,0
266,2,31,27,114.81,31,267,1,8,15,1,0,2,1,1,0,0
267,3,19,13,146.15,0,257,3,3,7,0,0,3,0,0,0,0
268,5,72,38,189.47,72,257,4,10,16,1,0,6,5,1,0,0
269,2,35,32,109.38,0,285,2,11,15,2,0,4,0,1,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,8,267,162,164.81,44.5,225,2,36,86,0,1,28,11,4,3,0
273,4,155,110,140.91,38.75,226,0,36,49,3,0,16,6,2,1,0
274,4,66,45,146.67,22,235,1,18,17,1,1,2,6,1,1,0
275,1,5,3,166.67,0,252,1,0,1,2,0,0,0,0,0,0
276,7,328,227,144.49,82,293,3,71,104,4,0,36,12,4,4,1
277,5,80,78,102.56,20,261,1,29,40,1,0,5,3,1,0,0
278,7,256,180,142.22,42.67,228,1,62,76,4,0,28,10,4,3,0
279,3,61,38,160.53,30.5,228,1,12,13,2,0,11,0,1,0,0
280,3,17,11,154.55,8.5,228,1,6,1,1,0,2,1,0,0,0
281,2,3,3,100,0,253,2,1,1,1,0,0,0,0,0,0
282,2,28,19,147.37,28,231,1,7,8,0,0,2,2,0,0,0
