dec,290,ibrahim zadran,bat,r,0,0
nov,291,usman ghani,bat,r,0,0
june,292,gulbadin naib,all,r,r,fast
feb,293,najibullah zadran,bat,l,0,0
sept,294,naveen ul haq,bow,r,r,fast
sept,295,fazalhaq farooqi,bow,l,l,fast
feb,296,kesav maharaj,bow,r,l,off
mar,297,tim david,bat,r,0,0
aug,298,phil salt,bat,r,0,0
nov,299,umran malik,bow,r,r,fast
jan,300,ruturaj gaikwad,bat,r,0,0
june,301,cameron green,all,r,r,fast
feb,302,david willey,bow,l,l,fast
sept,303,ravi bishnoi,bow,r,r,leg
may,304,marco jansen,bow,r,l,fast
apr,305,dewald brevis,bat,r,0,0
feb,306,reece topley,bow,l,l,fast
jan,307,johnson charles,bat,r,0,0
mar,308,josh inglis,bat,r,0,0
mar,309,roston chase,all,r,r,off
may,310,david wiese,all,r,r,fast
june,311,shivam dube,all,l,r,fast
july,312,devdutt padikkal,bat,l,0,0
nov,313,harshal patel,bow,r,r,fast
dec,314,venkatesh iyer,all,l,r,fast
dec,315,avesh khan,bow,r,r,fast
dec,316,shahbaz ahmed,all,l,l,off
mar,317,mohammad haris,bat,r,0,0
feb,318,michael bracewell,all,l,r,off
sept,319,dilshan madushanka,bow,l,l,fast
nov,320,shivam mavi,bow,r,r,fast
