id,inn_id,m_id,t_id,b1,b2,runs,balls,c1,c2,c3,dots,c4,c6,sr,for_wicket,unbeaten,bow_team,bat_team,b1s,b2s,b1b,b2b
126,20,10,1,71,82,0,1,0,0,0,1,0,0,0,4,12.5,4,6,0,0,0,1
127,20,10,1,71,75,42,19,6,0,0,6,4,3,221.05,5,15.6,4,6,21,19,9,10
128,20,10,1,76,75,36,14,4,1,0,3,3,3,257.14,6,18.2,4,6,11,25,4,10
129,20,10,1,77,75,6,7,2,0,0,4,1,0,85.71,7,19.3,4,6,5,1,5,2
130,20,10,1,77,81,6,3,0,0,0,2,0,1,200,8,0,4,6,0,6,0,3
131,21,11,1,17,16,11,13,5,1,0,6,1,0,84.62,1,2.1,3,2,9,2,6,7
132,21,11,1,17,18,48,38,15,0,0,16,5,2,126.32,2,8.3,3,2,18,29,16,22
133,21,11,1,19,18,68,49,20,2,0,17,8,2,138.78,3,16.4,3,2,30,38,26,23
134,21,11,1,20,18,5,8,4,0,0,4,0,0,62.5,4,17.6,3,2,2,2,4,4
135,21,11,1,20,22,0,1,0,0,0,1,0,0,0,5,18.1,3,2,0,0,1,0
136,21,11,1,21,22,23,11,1,0,0,5,4,1,209.09,6,0,3,2,22,1,10,1
137,22,11,1,29,28,49,45,17,1,0,21,3,3,108.89,1,7.3,2,3,32,17,25,20
138,22,11,1,30,28,35,25,13,0,0,7,4,1,140,2,11.4,2,3,24,11,12,13
139,22,11,1,30,31,1,4,1,0,0,3,0,0,25,3,12.2,2,3,1,0,1,3
140,22,11,1,30,40,28,28,16,0,0,10,0,2,100,4,16.6,2,3,8,20,10,18
141,22,11,1,30,32,11,6,1,0,0,3,1,1,183.33,5,17.6,2,3,11,0,4,2
142,22,11,1,30,34,13,7,3,0,0,2,1,1,185.71,6,19.1,2,3,6,7,4,3
143,22,11,1,41,34,6,5,0,0,0,4,0,1,120,7,0,2,3,6,0,5,0
144,23,12,1,96,97,0,4,0,0,0,4,0,0,0,1,0.4,7,8,0,0,4,0
145,23,12,1,98,97,11,12,3,0,0,7,2,0,91.67,2,2.4,7,8,6,5,6,6
146,23,12,1,98,99,12,7,0,0,0,5,0,2,171.43,3,3.5,7,8,12,0,5,2
